"色号","HEX 色值","色号","HEX 色值","色号","HEX 色值"
"G1","#ffebcc","H1","#ffffff","M1","#d9d9cc"
"G2","#ffe6cc","H2","#ffffff","M2","#ccccb3"
"G3","#ffddb3","H3","#d4d4d4","M3","#bfbf99"
"G4","#ffd499","H4","#b3b3b3","M4","#d9d2b3"
"G5","#ffcb80","H5","#999999","M5","#e6e0cc"
"G6","#ffc266","H6","#808080","M6","#d9d2b3"
"G7","#e6a866","H7","#000000","M7","#ccccb3"
"G8","#cc8f4d","H8","#f2f2f2","M8","#cc9999"
"G9","#ffd199","H9","#e6e6e6","M9","#b38066"
"G10","#e6b880","H10","#d9d9d9","M10","#ccb3b3"
"G11","#cc9f66","H11","#cccccc","M11","#b380b3"
"G12","#ffd9b3","H12","#f0f0f0","M12","#996666"
"G13","#e6b380","H13","#f9f9e6","M13","#cc9966"
"G14","#cc9966","H14","#e6e6e6","M14","#b38066"
"G15","#fff2e6","H15","#d9d9d9","M15","#808080"
"G16","#e6d9cc","H16","#000000","",""
"G17","#996633","H17","#ffffff","",""
"G18","#cc9966","H18","#f2f2f2","",""
"G19","#e68a33","H19","#e6e6e6","",""
"G20","#cc7a2e","H20","#cccccc","",""
"G21","#b36a29","H21","#f9f9f9","",""
"","","H22","#d9d9d9","",""
"","","H23","#cccccc","",""
