"色号","HEX 色值","色号","HEX 色值","色号","HEX 色值"
"A1","#faf5cd","B1","#ffffff","C1","#c6f2ff"
"A2","#fcfed6","B2","#64f343","C2","#99e6ff"
"A3","#fcff92","B3","#a1f586","C3","#66d9ff"
"A4","#fff280","B4","#66e066","C4","#33ccff"
"A5","#ffd856","B5","#44d144","C5","#00bfff"
"A6","#ffb956","B6","#55c255","C6","#00b3ff"
"A7","#ff9f56","B7","#44b344","C7","#00a3e6"
"A8","#ffd256","B8","#33a333","C8","#0099e6"
"A9","#ff9f56","B9","#229322","C9","#008cdb"
"A10","#ff8a56","B10","#88d188","C10","#0080cc"
"A11","#ffc999","B11","#66a366","C11","#66ccff"
"A12","#ffc299","B12","#559355","C12","#33b3e6"
"A13","#ffb380","B13","#77b377","C13","#cceeff"
"A14","#ff4d4d","B14","#66a366","C14","#b3e6ff"
"A15","#ffcc80","B15","#559355","C15","#44c2e6"
"A16","#ffd999","B16","#99c399","C16","#33b3e6"
"A17","#ffd280","B17","#b3e0b3","C17","#22a3d9"
"A18","#ffd9b3","B18","#c3e6c3","C18","#1199cc"
"A19","#ff9980","B19","#44b344","C19","#008cc0"
"A20","#ffdd99","B20","#33a333","C20","#0080b3"
"A21","#fff2cc","B21","#229322","C21","#88d1e6"
"A22","#fff6d9","B22","#118311","C22","#77c2d9"
"A23","#e6d9b3","B23","#117311","C23","#66b3cc"
"A24","#fff6cc","B24","#228322","C24","#55a3bf"
"A25","#ffd966","B25","#448344","C25","#4499b3"
"A26","#ffcc66","B26","#557355","C26","#338ca6"
"","","B27","#a3d1a3","C27","#b3e0e6"
"","","B28","#b3e0b3","C28","#a3d1d9"
"","","B29","#c3e6c3","C29","#558cb3"
"","","B30","#d3ecd3","",""
"","","B31","#e3f2e3","",""
"","","B32","#f3f8f3","",""
